date,BPS,PER,PBR,EPS,DIV,DPS,ticker
2013.4.30,13300,0,2.15,0,0,0,000660
2013.5.31,14032,0,2.1,0,0,0,000660
2013.6.30,14032,0,2.27,0,0,0,000660
2013.7.31,14032,0,2.25,0,0,0,000660
2013.8.31,14032,0,1.95,0,0,0,000660
2013.9.30,14032,0,2.02,0,0,0,000660
2013.10.31,14032,0,2.13,0,0,0,000660
2013.11.30,14032,0,2.37,0,0,0,000660
2013.12.31,14032,0,2.54,0,0,0,000660
2014.1.31,14032,0,2.53,0,0,0,000660
2014.2.28,14032,0,2.7,0,0,0,000660
2014.3.31,14032,0,2.78,0,0,0,000660
2014.4.30,14032,0,2.64,0,0,0,000660
2014.5.31,18399,10.05,2.21,4045,0,0,000660
2014.6.30,18399,11.05,2.43,4045,0,0,000660
2014.7.31,18399,11.98,2.63,4045,0,0,000660
2014.8.31,18399,11.45,2.52,4045,0,0,000660
2014.9.30,18399,11,2.42,4045,0,0,000660
2014.10.31,18399,11.47,2.52,4045,0,0,000660
2014.11.30,18399,11.88,2.61,4045,0,0,000660
2014.12.31,18399,11.85,2.61,4045,0,0,000660
2015.1.31,18399,11.8,2.6,4045,0,0,000660
2015.2.28,18399,11.52,2.53,4045,0,0,000660
2015.3.31,18399,11.58,2.55,4045,0,0,000660
2015.4.30,18399,11.12,2.45,4045,0,0,000660
2015.5.31,24775,8.01,1.89,5842,0.64,300,000660
2015.6.30,24775,8.66,2.04,5842,0.59,300,000660
2015.7.31,24775,7.33,1.73,5842,0.7,300,000660
2015.8.31,24775,6.15,1.45,5842,0.83,300,000660
2015.9.30,24775,5.89,1.39,5842,0.87,300,000660
2015.10.31,24775,5.77,1.36,5842,0.89,300,000660
2015.11.30,24775,5.5,1.3,5842,0.93,300,000660
2015.12.31,24775,5.37,1.27,5842,0.96,300,000660
2016.1.31,24775,5.16,1.22,5842,1,300,000660
2016.2.29,24775,4.86,1.15,5842,1.06,300,000660
2016.3.31,24775,5.3,1.25,5842,0.97,300,000660
2016.4.30,24775,4.83,1.14,5842,1.06,300,000660
2016.5.31,29377,4.64,0.95,6002,1.8,500,000660
2016.6.30,29377,4.75,0.97,6002,1.75,500,000660
2016.7.31,29377,5.36,1.09,6002,1.56,500,000660
2016.8.31,29377,5.81,1.19,6002,1.43,500,000660
2016.9.30,29377,6.01,1.23,6002,1.39,500,000660
2016.10.31,29377,6.96,1.42,6002,1.2,500,000660
2016.11.30,29377,7,1.43,6002,1.19,500,000660
2016.12.31,29377,7.36,1.5,6002,1.13,500,000660
2017.1.31,29377,7.63,1.56,6002,1.09,500,000660
2017.2.28,29377,9,1.84,6002,0.93,500,000660
2017.3.31,29377,7.95,1.62,6002,1.05,500,000660
2017.4.30,29377,8.63,1.76,6002,0.97,500,000660
2017.5.31,32990,13.24,1.68,4184,1.08,600,000660
2017.6.30,32990,13.48,1.71,4184,1.06,600,000660
2017.7.31,32990,15.85,2.01,4184,0.9,600,000660
2017.8.31,32990,15.65,1.99,4184,0.92,600,000660
2017.9.30,32990,16.42,2.08,4184,0.87,600,000660
2017.10.31,32990,21.2,2.69,4184,0.68,600,000660
2017.11.30,32990,20.39,2.59,4184,0.7,600,000660
2017.12.31,32990,18.5,2.35,4184,0.78,600,000660
2018.1.31,32990,18.31,2.32,4184,0.78,600,000660
2018.2.28,32990,17.78,2.26,4184,0.81,600,000660
2018.3.31,32990,18.5,2.35,4184,0.78,600,000660
2018.4.30,32990,19.43,2.46,4184,0.74,600,000660
2018.5.31,46449,5.51,1.79,15073,1.2,1000,000660
2018.6.30,46449,6.06,1.97,15073,1.09,1000,000660
2018.7.31,46449,5.55,1.8,15073,1.19,1000,000660
2018.8.31,46449,5.68,1.84,15073,1.17,1000,000660
2018.9.30,46449,5.35,1.74,15073,1.24,1000,000660
2018.10.31,46449,4.89,1.59,15073,1.36,1000,000660
2018.11.30,46449,4.53,1.47,15073,1.46,1000,000660
2018.12.31,46449,4.68,1.52,15073,1.42,1000,000660
2019.1.31,46449,4.02,1.3,15073,1.65,1000,000660
2019.2.28,46449,5.04,1.63,15073,1.32,1000,000660
2019.3.31,46449,4.65,1.51,15073,1.43,1000,000660
2019.4.30,46449,5.08,1.65,15073,1.31,1000,000660
2019.5.31,64348,3.63,1.25,22255,1.86,1500,000660
2019.6.30,64348,2.99,1.03,22255,2.25,1500,000660
2019.7.31,64348,3.15,1.09,22255,2.14,1500,000660
2019.8.31,64348,3.49,1.21,22255,1.93,1500,000660
2019.9.30,64348,3.49,1.21,22255,1.93,1500,000660
2019.10.31,64348,3.68,1.27,22255,1.83,1500,000660
2019.11.30,64348,3.73,1.29,22255,1.81,1500,000660
2019.12.31,64348,3.62,1.25,22255,1.86,1500,000660
2020.1.31,64348,4.26,1.47,22255,1.58,1500,000660
2020.2.29,64348,4.26,1.47,22255,1.58,1500,000660
2020.3.31,64348,4.14,1.43,22255,1.63,1500,000660
2020.4.30,64348,3.52,1.22,22255,1.91,1500,000660
2020.5.31,65836,27.52,1.23,2943,1.23,1000,000660
2020.6.30,65836,28.41,1.27,2943,1.2,1000,000660
2020.7.31,65836,28.98,1.3,2943,1.17,1000,000660
2020.8.31,65836,27.79,1.24,2943,1.22,1000,000660
2020.9.30,65836,25.55,1.14,2943,1.33,1000,000660
2020.10.31,65836,28.27,1.26,2943,1.2,1000,000660
2020.11.30,65836,27.05,1.21,2943,1.26,1000,000660
2020.12.31,65836,34.15,1.53,2943,1,1000,000660
2021.1.31,65836,42.81,1.91,2943,0.79,1000,000660
2021.2.28,65836,42.47,1.9,2943,0.8,1000,000660
2021.3.31,65836,49.1,2.19,2943,0.69,1000,000660
2021.4.30,65836,47.74,2.13,2943,0.71,1000,000660
2021.5.31,71275,18.92,1.84,6952,0.89,1170,000660
2021.6.30,71275,18.48,1.8,6952,0.91,1170,000660
2021.7.31,71275,17.91,1.75,6952,0.94,1170,000660
2021.8.31,71275,16.69,1.63,6952,1.01,1170,000660
2021.9.30,71275,15.54,1.52,6952,1.08,1170,000660
2021.10.31,71275,14.38,1.4,6952,1.17,1170,000660
2021.11.30,71275,15.32,1.49,6952,1.1,1170,000660
2021.12.31,71275,16.76,1.63,6952,1,1170,000660
2013.4.30,439933,6.88,0.74,47224,3.08,10000,005490
