date,market_cap,volume,trading_value,shares,ticker
2013.4.30,2.07556E+13,86134339,2.48514E+12,694167032,000660
2013.5.31,2.23525E+13,99765241,3.04713E+12,694176105,000660
2013.6.30,2.16675E+13,92187155,2.8793E+12,694472461,000660
2013.7.31,1.89093E+13,159346763,4.53336E+12,695193593,000660
2013.8.31,2.00632E+13,107295962,2.98057E+12,710200891,000660
2013.9.30,2.14836E+13,111131402,3.20538E+12,710200891,000660
2013.10.31,2.26909E+13,129308718,4.23619E+12,710200891,000660
2013.11.30,2.51411E+13,74178712,2.46835E+12,710200891,000660
2013.12.31,2.61354E+13,80388076,2.89365E+12,710200891,000660
2014.1.31,2.68811E+13,96379226,3.55557E+12,710200891,000660
2014.2.28,2.75203E+13,70030223,2.70842E+12,710200891,000660
2014.3.31,2.55672E+13,66767348,2.51331E+12,710200891,000660
2014.4.30,2.85146E+13,72451287,2.80686E+12,710200891,000660
2014.5.31,3.14153E+13,48673707,2.03368E+12,711559428,000660
2014.6.30,3.45801E+13,69558466,3.34807E+12,712258284,000660
2014.7.31,3.2821E+13,82964684,4.02447E+12,722134601,000660
2014.8.31,3.28078E+13,85262447,3.85833E+12,722638965,000660
2014.9.30,3.38407E+13,60302294,2.65795E+12,723865262,000660
2014.10.31,3.45437E+13,64400467,2.8833E+12,728002365,000660
2014.11.30,3.49805E+13,38943107,1.85025E+12,728002365,000660
2014.12.31,3.47621E+13,34079126,1.63466E+12,728002365,000660
2015.1.31,3.46893E+13,53483941,2.58583E+12,728002365,000660
2015.2.28,3.39249E+13,39894722,1.85741E+12,728002365,000660
2015.3.31,3.31605E+13,66876826,3.05996E+12,728002365,000660
2015.4.30,3.35973E+13,73472495,3.28157E+12,728002365,000660
2015.5.31,3.72009E+13,48711522,2.31389E+12,728002365,000660
2015.6.30,3.07945E+13,71087633,3.23267E+12,728002365,000660
2015.7.31,2.70089E+13,105251231,4.09108E+12,728002365,000660
2015.8.31,2.60625E+13,103747726,3.5966E+12,728002365,000660
2015.9.30,2.44245E+13,64992166,2.26225E+12,728002365,000660
2015.10.31,2.23497E+13,90745363,3.10411E+12,728002365,000660
2015.11.30,2.30049E+13,77816882,2.46802E+12,728002365,000660
2015.12.31,2.23861E+13,59495764,1.84064E+12,728002365,000660
2016.1.31,1.98745E+13,70670973,1.98981E+12,728002365,000660
2016.2.29,2.18401E+13,50379765,1.46642E+12,728002365,000660
2016.3.31,2.04933E+13,63266697,1.89844E+12,728002365,000660
2016.4.30,2.04933E+13,68996479,1.92639E+12,728002365,000660
2016.5.31,2.08937E+13,62016399,1.68687E+12,728002365,000660
2016.6.30,2.35873E+13,100900213,3.0562E+12,728002365,000660
2016.7.31,2.50433E+13,68618658,2.21531E+12,728002365,000660
2016.8.31,2.65357E+13,58230900,2.03464E+12,728002365,000660
2016.9.30,2.92657E+13,59573399,2.32098E+12,728002365,000660
2016.10.31,2.98481E+13,70250689,2.91456E+12,728002365,000660
2016.11.30,3.12313E+13,57764657,2.40036E+12,728002365,000660
2016.12.31,3.25417E+13,47724187,2.1646E+12,728002365,000660
2017.1.31,3.90937E+13,66028116,3.30352E+12,728002365,000660
2017.2.28,3.39977E+13,96199499,4.82204E+12,728002365,000660
2017.3.31,3.67641E+13,92236147,4.51126E+12,728002365,000660
2017.4.30,3.93121E+13,57361105,2.93941E+12,728002365,000660
2017.5.31,4.14961E+13,55854626,3.12813E+12,728002365,000660
