date,ticker,open,high,low,close,volume
2013.11.30,000270,61200,61300,60000,60400,4906266
2013.12.31,000270,60300,60900,53000,56100,24555324
2014.1.31,000270,56200,56300,50100,54000,38916958
2014.2.28,000270,53000,56000,52000,55400,20981719
2014.3.31,000270,55600,60200,53800,59300,21854735
2014.4.30,000270,59000,61600,56000,57300,25271727
2014.5.31,000270,57300,60700,55600,58800,17124242
2014.6.30,000270,58900,59100,53600,56600,19053773
2014.7.31,000270,56600,61500,53400,60900,26982106
2014.8.31,000270,60000,63000,58500,61200,16603019
2014.9.30,000270,61400,61600,52000,53700,24504320
2014.10.31,000270,53200,56700,51700,52100,24183676
2014.11.30,000270,52000,56800,48300,55700,19679822
2014.12.31,000270,55100,58300,51600,52300,15712719
2015.1.31,000270,51600,54900,44750,46000,31985515
2015.2.28,000270,45800,46900,42950,45500,22884760
2015.3.31,000270,45400,48500,44850,45200,25868228
2015.4.30,000270,45050,52000,43750,49600,35860523
2015.5.31,000270,49600,52700,47000,47650,19720944
2015.6.30,000270,47650,47850,43000,45300,24253618
2015.7.31,000270,45050,46200,40200,43900,28112162
2015.8.31,000270,43800,49300,41350,48700,28131947
2015.9.30,000270,48100,54000,47200,53600,25135851
2015.10.31,000270,53600,55900,49600,55800,21885905
2015.11.30,000270,55900,59400,52500,52500,18043863
2015.12.31,000270,52500,57100,50500,52600,16881487
2016.1.31,000270,51700,51800,44750,45150,21913753
2016.2.29,000270,45000,49800,42650,46100,22961751
2016.3.31,000270,46850,50800,46550,48300,19280804
2016.4.30,000270,48300,50300,45100,47900,20117065
2016.5.31,000270,47400,48300,45500,46650,15830827
2016.6.30,000270,46150,46800,42700,43200,18989040
2016.7.31,000270,43400,43750,40800,42150,21460564
2016.8.31,000270,42450,43100,40650,41950,21931419
2016.9.30,000270,41900,45100,41500,42150,19832323
2016.10.31,000270,42050,42800,40450,40700,14393977
2016.11.30,000270,40850,41700,36500,37400,24678979
2016.12.31,000270,37400,39800,37000,39250,14863243
2017.1.31,000270,39000,41450,36100,36400,18920661
2017.2.28,000270,36550,38550,35600,38250,15748399
2017.3.31,000270,38400,38750,35950,37050,21598725
2017.4.30,000270,37050,37250,33800,34850,21085664
2017.5.31,000270,34750,39900,34750,39050,24481749
2017.6.30,000270,39100,40350,37600,38200,18812074
2017.7.31,000270,38050,38700,36050,36600,16959795
2017.8.31,000270,36550,37850,34500,35450,19739267
2017.9.30,000270,35550,35900,29950,31650,27659058
2017.10.31,000270,31800,35400,31400,35400,18382306
2017.11.30,000270,34800,35950,32450,33650,21739061
2017.12.31,000270,33650,34400,32000,33500,15699717
2018.1.31,000270,33000,34700,31400,34650,22130010
2018.2.28,000270,34300,35800,32100,34350,21666126
2018.3.31,000270,33850,34000,30850,31000,24597851
2018.4.30,000270,31050,33100,30900,33100,23726416
2018.5.31,000270,32800,34850,31150,31150,18801815
2018.6.30,000270,31100,34000,30450,30850,18456227
2018.7.31,000270,30850,32850,29450,31700,17534882
2018.8.31,000270,31650,32600,30950,32050,13377137
2018.9.30,000270,31900,35600,31350,35100,19573161
2018.10.31,000270,35150,35200,26200,28400,27693336
2018.11.30,000270,28300,30750,27100,30500,19094252
2018.12.31,000270,30900,34200,29600,33700,16249408
2019.1.31,000270,33450,36650,31800,36350,21942579
2019.2.28,000270,36350,37350,34750,36550,15087190
2019.3.31,000270,36500,36500,33350,35350,18778392
2019.4.30,000270,35500,46300,34850,45250,36239087
2019.5.31,000270,44700,45400,38700,39350,31942848
2019.6.30,000270,38900,44050,38650,44000,20654271
2019.7.31,000270,44000,44300,41250,43750,21335201
2019.8.31,000270,43750,44100,40850,43700,18977505
2019.9.30,000270,43000,46900,42700,45600,20388628
2019.10.31,000270,45200,45900,39500,42550,21557754
2019.11.30,000270,42150,44800,41800,43250,18030352
2019.12.31,000270,43300,45650,42150,44300,16584597
2020.1.31,000270,44100,44300,39950,40900,24817954
2020.2.29,000270,40200,42300,36000,36250,22325910
2020.3.31,000270,35200,36700,21500,26000,50565872
2020.4.30,000270,26050,31800,24900,29650,41728029
2020.5.31,000270,29550,34650,28500,34250,42944226
2020.6.30,000270,33900,38250,31900,32050,43714732
2020.7.31,000270,32200,41350,31900,40400,46600560
2020.8.31,000270,40250,47700,38900,42450,48418912
2020.9.30,000270,42500,50200,41250,46900,43744240
2020.10.31,000270,47450,53900,43150,50500,56221966
