date,institutional,other,individual,foreign,total,ticker
2013.4.30,1.22831E+11,4048544250,-1.80567E+11,53687112550,0,000660
2013.5.31,-1.11886E+11,4991944300,-2.50724E+11,3.57618E+11,0,000660
2013.6.30,-3.88037E+11,-321362180,50578358400,3.3778E+11,0,000660
2013.7.31,-3.92637E+11,-12497264700,3.90695E+11,14439410200,0,000660
2013.8.31,-59353718050,-4312467700,-1.24786E+11,1.88452E+11,0,000660
2013.9.30,-3.16865E+11,-8918151550,-3.09834E+11,6.35617E+11,0,000660
2013.10.31,-5.96747E+11,-19514956500,-4.20574E+11,1.03684E+12,0,000660
2013.11.30,1.11348E+11,-12570493500,-3.65098E+11,2.6632E+11,0,000660
2013.12.31,-1.08342E+11,-4554767250,-2.21461E+11,3.34358E+11,0,000660
2014.1.31,-2.41195E+11,4109587500,-12866466750,2.49952E+11,0,000660
2014.2.28,-1.30336E+11,-14529068500,-2.9228E+11,4.37145E+11,0,000660
2014.3.31,-1.09809E+11,-7899937850,1.46861E+11,-29151383500,0,000660
2014.4.30,1.70719E+11,-1355735000,-6.14551E+11,4.45188E+11,0,000660
2014.5.31,-51018838500,-12950370250,-3.33165E+11,3.97134E+11,0,000660
2014.6.30,-1.69567E+11,188672600,33136791750,1.36242E+11,0,000660
2014.7.31,-1.02439E+11,5317139200,1.7078E+11,-73658027350,0,000660
2014.8.31,52587093450,4913155250,52306996100,-1.09807E+11,0,000660
2014.9.30,76952556850,-3919844900,-1.02321E+11,29287881700,0,000660
2014.10.31,2.79699E+11,-11239212950,-2.25803E+11,-42657148000,0,000660
2014.11.30,-1.06379E+11,-9690816300,-1.69613E+11,2.85682E+11,0,000660
2014.12.31,21012523098,-2460811300,-1.00682E+11,82130477102,0,000660
2015.1.31,-97602161550,7022378700,1.65472E+11,-74892316950,0,000660
2015.2.28,-2.01543E+11,-2816087350,66060156250,1.38299E+11,0,000660
2015.3.31,-3.32861E+11,356386850,49223556000,2.83281E+11,0,000660
2015.4.30,-2.50665E+11,-13397502450,-23301831950,2.87364E+11,0,000660
2015.5.31,53351067050,-10536313650,-4.32595E+11,3.8978E+11,0,000660
2015.6.30,-89102666850,6629901550,4.24901E+11,-3.42428E+11,0,000660
2015.7.31,-1.57676E+11,1.29018E+11,2.80857E+11,-2.52199E+11,0,000660
2015.8.31,-20696688250,3.90519E+11,2.01994E+11,-5.71816E+11,0,000660
2015.9.30,-1.77769E+11,2.36018E+11,85914906200,-1.44163E+11,0,000660
2015.10.31,-1.52229E+11,26250827300,3.94803E+11,-2.68825E+11,0,000660
2015.11.30,77898222150,6294707700,-44577826450,-39615103400,0,000660
2015.12.31,-44313968600,-9008900,-70032627150,1.14356E+11,0,000660
2016.1.31,-99853893400,4228970000,2.02007E+11,-1.06382E+11,0,000660
2016.2.29,1.77842E+11,542295550,-2.47014E+11,68629395700,0,000660
2016.3.31,-3.16563E+11,-3588739850,1.33848E+11,1.86304E+11,0,000660
2016.4.30,-61526282400,2181466000,1.03354E+11,-44009170200,0,000660
2016.5.31,2436766350,902321600,-78149726950,74810639000,0,000660
2016.6.30,3.30215E+11,-148092300,-4.96916E+11,1.66849E+11,0,000660
2016.7.31,-1.15536E+11,-4379765350,-2.59995E+11,3.79911E+11,0,000660
2016.8.31,-57365162900,-3858717750,-2.5763E+11,3.18853E+11,0,000660
2016.9.30,2.3682E+11,-8110269550,-2.50194E+11,21484176450,0,000660
2016.10.31,1.23683E+11,-5579276850,-1.49603E+11,31498710000,0,000660
2016.11.30,2.46429E+11,-8275345700,-1.59296E+11,-78857357850,0,000660
2016.12.31,1.00523E+11,-2353649300,-99147724350,978487200,0,000660
2017.1.31,1.52754E+11,6298254250,26988039150,-1.8604E+11,0,000660
2017.2.28,71127593500,11414304350,3.92397E+11,-4.74939E+11,0,000660
2017.3.31,-1.6736E+11,-3733191500,-1.66653E+11,3.37746E+11,0,000660
2017.4.30,31876313550,-8666852850,-2.28751E+11,2.05542E+11,0,000660
2017.5.31,-31847956500,8756290800,-48381996500,71473662200,0,000660
2017.6.30,-69664399900,15297639100,3.80227E+11,-3.2586E+11,0,000660
2017.7.31,-32890258400,18554285200,5.24418E+11,-5.10082E+11,0,000660
2017.8.31,2.61611E+11,-5060100500,26680061600,-2.83231E+11,0,000660
2017.9.30,2.5899E+11,-6214634700,-1.42017E+11,-1.10758E+11,0,000660
2017.10.31,-5.74116E+11,23343799700,9.96869E+11,-4.46097E+11,0,000660
2017.11.30,-3.16683E+11,-1323464100,-95413267900,4.13419E+11,0,000660
2017.12.31,2.24088E+11,8790944600,28844465900,-2.61724E+11,0,000660
2018.1.31,-3.87221E+11,7494430200,2.87777E+11,91949645100,0,000660
2018.2.28,1.37089E+11,-21881089500,-8.01161E+11,6.85953E+11,0,000660
2018.3.31,-72798330300,-7389732100,-5.62479E+11,6.42667E+11,0,000660
2018.4.30,1.03331E+11,-16560341600,-2.14498E+11,1.27727E+11,0,000660
2018.5.31,4.04446E+11,-10333845900,-8.49232E+11,4.5512E+11,0,000660
2018.6.30,-2.83821E+11,5492812400,3.25067E+11,-46739432600,0,000660
2018.7.31,-2.60359E+11,43902757800,-1.03978E+11,3.20434E+11,0,000660
2018.8.31,-5.57139E+11,1.08544E+12,-24844403000,-5.03458E+11,0,000660
2018.9.30,-1.99776E+11,6.00054E+11,5.61348E+11,-9.61626E+11,0,000660
2018.10.31,1.3018E+11,4876500700,1601266700,-1.36657E+11,0,000660
2018.11.30,-85113795700,-9326219400,-1.63874E+11,2.58314E+11,0,000660
2018.12.31,-1.1109E+11,749529600,1.23279E+11,-12938539000,0,000660
2019.1.31,-43633800800,-13622610200,-7.62698E+11,8.19954E+11,0,000660
2019.2.28,-1.42344E+11,-4926535900,95918721400,51351947400,0,000660
2019.3.31,1.7953E+11,-4204696800,-3.15748E+11,1.40423E+11,0,000660
2019.4.30,76935820100,-6977169900,-4.86055E+11,4.16096E+11,0,000660
2019.5.31,1.70576E+11,11205691600,4.28505E+11,-6.10286E+11,0,000660
2019.6.30,35542045000,-4537868300,-27084298100,-3919878600,0,000660
2019.7.31,31047792900,-9665713500,-6.81504E+11,6.60122E+11,0,000660
2019.8.31,-1528300,1321002300,-75120844900,73801370900,0,000660
2019.9.30,2.28965E+11,341287100,-1.99017E+11,-30289357100,0,000660
2019.10.31,2.30189E+11,8270289600,-14509631200,-2.2395E+11,0,000660
2019.11.30,3.39416E+11,-6161685600,5444245500,-3.38698E+11,0,000660
2019.12.31,2.23817E+11,-8198370800,-5.65582E+11,3.49963E+11,0,000660
2020.1.31,-1.99868E+11,10122648400,3.22317E+11,-1.32571E+11,0,000660
2020.2.29,61398740100,5723048200,1.34466E+11,-2.01587E+11,0,000660
2020.3.31,4.72504E+11,15022994100,4.67676E+11,-9.55203E+11,0,000660
2020.4.30,-1.10139E+11,10214131600,3.37677E+11,-2.37752E+11,0,000660
2020.5.31,1.44127E+11,4783061300,2.60501E+11,-4.0941E+11,0,000660
2020.6.30,1.32295E+11,-11635088500,-2.65663E+11,1.45002E+11,0,000660
2020.7.31,-6.33368E+11,18700644600,8.90626E+11,-2.75959E+11,0,000660
2020.8.31,-4.23471E+11,9558983700,1.01292E+12,-5.99006E+11,0,000660
2020.9.30,3.41062E+11,-17106390600,-1.25425E+12,9.30294E+11,0,000660
2020.10.31,52648750200,13575176000,-89938660000,23714733800,0,000660
2020.11.30,67857003200,-17886808600,-9.66383E+11,9.16412E+11,0,000660
2020.12.31,-1.3766E+11,7226248100,21974748200,1.08459E+11,0,000660
